teacher_id,name,password,gender,title,department,email,phone,hire_date,status,created_at,updated_at
2016011020,Roberta Singh,$2b$12$JbSmZ.xtYxQ6gtHNAOQGfugd4y3x6XttXLcul.fFFmQQLBogHpvsK,男,讲师,国际学院,2016011020@ic.bupt.edu.cn,010-31104006,2016-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2016011046,Cassandra Wu,$2b$12$gqpWeGvmKNwE5iqIjgc.seiVkr4RT45O7W4pRMmJCDBGcaYpzzYa.,女,讲师,国际学院,2016011046@ic.bupt.edu.cn,010-99046082,2016-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2016031008,陈波,$2b$12$f1/TSn.60P9/k/6NGr.MK.19DODuxrHmD62RC01X.YevPn1MvkKEy,女,讲师,现代邮政学院,2016031008@bupt.edu.cn,010-42420634,2016-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2016043033,张桂芝,$2b$12$RpXt68ijhLPnXgLNMLdZNO/RxIALCTNGKre09vEO6Q/A9nkI8B2eS,男,副教授,电子工程学院,2016043033@bupt.edu.cn,010-21133056,2016-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2016043047,李坤,$2b$12$p65g/wcthuZKxdA7ibwdyOP3aIcRd8/Q5QpeVo/kVdBbHM4HriB.S,女,讲师,电子工程学院,2016043047@bupt.edu.cn,010-81667171,2016-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2016061028,孙玲,$2b$12$Pe1GK19TFL5YHQphIQ/Zd.nQsyc3yrn9rc1t3Qbb66Vv280xGdNay,女,讲师,信息与通信工程学院,2016061028@bupt.edu.cn,010-14213464,2016-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2017023011,张丹,$2b$12$9TL.302QY/vpdBcLoFpqaeEoeaVmNy6WyOy2ZMdLQlWNYZC3WZ6gO,女,副研究员,计算机学院,2017023011@bupt.edu.cn,010-75442090,2017-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2017023023,张宁,$2b$12$n09Sj0EkBFhD6F3OuY5yfevS4DmtF/owNFdbhnWX54ZBn.BN.RuP.,女,教授,计算机学院,2017023023@bupt.edu.cn,010-53152745,2017-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2017043018,骆燕,$2b$12$72nJXz3vstKunBUa/Cxoye4aRNZwcYbeu.xyLKym0hPq/akjNrg6a,男,副研究员,电子工程学院,2017043018@bupt.edu.cn,010-24654609,2017-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2017052034,钟柳,$2b$12$n1.OeMDur8ORVzZozsgBIOeTFyBABoMT0S/iISs9Jdfa4GKxmkNAu,女,实验师,人工智能学院,2017052034@bupt.edu.cn,010-20710574,2017-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2018053031,沈晨,$2b$12$Pvlch.utNIa7EueI4dUU5ujSqM5bhrAAFzpMOkj6nhWaIf5ZipGp.,男,行政主管,人工智能学院,2018053031@bupt.edu.cn,010-81725608,2018-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2018063010,张秀梅,$2b$12$dkl4/Mp2Gcv6hc9ZBBBTzOkyrcSFEl2M33RA5P/vJvU9oyJpDKb82,女,副研究员,信息与通信工程学院,2018063010@bupt.edu.cn,010-92286453,2018-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2019023029,汪军,$2b$12$e8IjsvXEiIinmBM6gANCzutH5yoGeZ.y9z1vMm9irpad2AMYIr..q,男,助教,计算机学院,2019023029@bupt.edu.cn,010-43357054,2019-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2019033012,李艳,$2b$12$98b7Vd0srWFCx8XrG9puF.84qDWCdgKWCTqN7L1oSyH35EicO7VFG,女,讲师,现代邮政学院,2019033012@bupt.edu.cn,010-41310859,2019-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2019083025,董红梅,$2b$12$DUIF9KYYVIL7.UzspEDHIevyj0.egTcedfeD1LWFLm2tlKR0xk1AS,男,讲师,人文学院,2019083025@bupt.edu.cn,010-37457880,2019-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
2020011027,John Contreras,$2b$12$4dzQE9Q7FC16nmWTalw6XuonG2uREdxE3uzohurPD6N3modXJyew2,女,讲师,国际学院,2020011027@ic.bupt.edu.cn,010-19757581,2020-09-01,active,2025-11-17 13:39:39,2025-11-17 13:39:39
